area_type,availability,location,BHK,society,total_sqft,bathrooms,balcony,price,Corrected_Percent_Flooded_Area,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,2,Coomee ,1056,2,1,39.07,2.969167705,3699.810606
Plot  Area,Ready To Move,Chikka Tirupathi,4,Theanmp,2600,5,3,120,1.544538442,4615.384615
Built-up  Area,Ready To Move,Uttarahalli,5,DLF Park Place,1440,2,3,62,0.819836479,4305.555556
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1521,3,1,95,1.3148171,6245.890861
Super built-up  Area,Ready To Move,Kothanur,2,Brigade Metropolis,1200,2,1,51,1.443452407,4250
Super built-up  Area,Ready To Move,Whitefield,2,DuenaTa,1170,2,1,38,0.090612489,3247.863248
Super built-up  Area,18-May,Old Airport Road,4,Jaades ,2732,4,5,204,3.446704127,7467.057101
Super built-up  Area,Ready To Move,Rajaji Nagar,4,Brway G,3300,4,2,600,0.790001986,18181.81818
Super built-up  Area,Ready To Move,Marathahalli,3,Oberoi Exquisite,1310,3,1,63.25,0.735914807,4828.244275
Plot  Area,Ready To Move,Gandhi Bazar,6,Oberoi Exquisite,1020,6,,370,0.709710375,36274.5098
Super built-up  Area,18-Feb,Whitefield,3,Brigade Metropolis,1800,2,2,70,9.242779332,3888.888889
Plot  Area,Ready To Move,Whitefield,4,Prrry M,2785,5,3,295,3.702696517,10592.45961
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Shncyes,1000,2,1,38,0.87865931,3800
Built-up  Area,Ready To Move,Gottigere,2,Purva Venezia,1100,2,2,40,0.289107666,3636.363636
Plot  Area,Ready To Move,Sarjapur,3,Skityer,2250,3,2,148,0.482623643,6577.777778
Super built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1175,2,2,73.5,0.688735282,6255.319149
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1180,3,2,48,3.539250333,4067.79661
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1540,3,3,60,0.045955578,3896.103896
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3,PeBayle,2770,4,2,290,0.504525197,10469.31408
Super built-up  Area,Ready To Move,Manayata Tech Park,2,Vatika City,1100,2,2,48,1.156238089,4363.636364
Built-up  Area,Ready To Move,Kengeri,1,Brigade Metropolis,600,1,1,15,1.347748917,2500
Super built-up  Area,19-Dec,Binny Pete,3,She 2rk,1755,3,1,122,2.517227647,6951.566952
Plot  Area,Ready To Move,Thanisandra,4,Soitya ,2800,5,2,380,0.876365429,13571.42857
Super built-up  Area,Ready To Move,Bellandur,5,Oberoi Exquisite,1767,3,1,103,0.825360946,5829.088851
Super built-up  Area,18-Nov, Thanisandra,4,Bhe 2ko,510,1,0,25.25,0.629920802,4950.980392
Super built-up  Area,18-May,Mangammanapalya,5,Purva Venezia,1250,3,2,56,2.560087006,4480
Super built-up  Area,Ready To Move,Electronic City,5,Itelaa ,660,1,1,23.1,2.147551477,3500
Built-up  Area,20-Dec,Whitefield,3,Purva Venezia,1610,3,2,81,0.555974167,5031.055901
Super built-up  Area,17-Oct,Ramagondanahalli,2,ViistLa,1151,2,2,48.77,0.829376579,4237.185056
Super built-up  Area,Ready To Move,Electronic City,3,KBityo ,1025,2,1,47,1.326925325,4585.365854
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,35,1.837849659,3255.813953
Super built-up  Area,Ready To Move,Hebbal,2,Mahosya,1760,2,2,123,3.783292115,6988.636364
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,57.39,0.638916752,3389.84052
Built-up  Area,Ready To Move,Kasturi Nagar,3,Kantsce,1925,3,,125,2.386481463,6493.506494
Super built-up  Area,21-Dec,Kanakpura Road,2,PrarePa,700,2,1,36,2.171988688,5142.857143
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,Vatika City,1070,2,1,45.5,0.711350147,4252.336449
Super built-up  Area,Ready To Move,Kundalahalli,3,Dieldli,1724,3,2,125,1.397900013,7250.580046
Super built-up  Area,Ready To Move,Chikkalasandra,6,Tata Eden Court,1290,2,2,56.12,2.019900267,4350.387597
Built-up  Area,Ready To Move,Uttarahalli,2,DLF Park Place,1143,2,2,45,0.679578763,3937.007874
Built-up  Area,Ready To Move,Murugeshpalya,2,Gentson,1296,2,,81,1.721952494,6250
